Название компании;Рынок;Что делают;Подробное описание проекта; Выручка (млн);Стадия;Международный трекшн ;Полезные ссылки;;;;;;;;;;;;;
"Кафедра газонефтетранспортных систем и оборудования нефтяной и газовой промышленности
Руководитель проекта Паранук Арамбий Асланович 
";IndustrialTech;Получение сверхчистого водорода ;"Проект специализируется на установке регенерации метанола. Процесс регенерации метанола из водных растворов без применения методовтепловой сепарации обусловлен использованием синтетических цеолитов в качестве адсорбирующего вещества. Попадая в блок адсорберов, водометанольная смесь подвергается адсорбции, в результате которой происходит избирательное поглощение молекул воды слоем цеолита. При этом цеолиты способны к поглощению других молекул без изменения в собственной кристаллической структуре, благодаря своей развитой внутренней поверхности. Избирательное поглощение молекул воды обусловлено размерами пор цеолита. Использование синтетического цеолита позволяет снизить энергозатраты на регенерацию метанола, повысить экологичность и технологическую безопасность процесса регенерации метанола, так как не требует условий высоких температур и оснащения большим количеством технологического оборудования.
Установка работает следующим образом. Смесь углеводородов и водометальногораствора, после осушки природного газа поступает в трехфазный сепаратор, отделившиеся углеводороды, которые перешли в газовую фазу собираются в верхнее части сепаратора, проходят через устройство улавливания капельной жидкости и выводятся через штуцер выхода жидких углеводородов, жидкость, проходя устройство распределения и гидродинамической опалесценции, равномерно распределяется по всему сечению сепаратора и вследствие разницы удельного веса разделяется на метанол и воду, отделившаяся вода скапливается в нижней части сепаратора и отводится через штуцер.
Регенерация синтетического цеолита в адсорберах осуществляется природным газом, азотом, метаном или атмосферным воздухом при температуре 200-250°С. После регенерации газ регенерации попадает в двухфазный сепаратор , где от газа отделяют жидкую фазу и подают ее на испаритель. Газ при этом подают в аппарат воздушного охлаждения 9, а после аппарата воздушного охлаждения обратно на блок адсорберов для охлаждения адсорбента после процесса регенераций.
";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://kubstu.ru/s-217
";;;;;;;;;;;;;
КАРБОНСАЙКЛ;IndustrialTech;Переработка CO2 ;"Компания специализируется на улавливании CO2 и его переработки. Технология подразумевает использование углекислого газа, образующегося в результате деятельности промышленных предприятий, и отходов металлургического производства (шлаков) в качестве сырья при производстве продукции строительного назначенияПреимуществом компании является наличие технологии создания сырья из переработанного CO2. Данное решение может быть использовано на различных промышленных предприятиях, что позволит снизить их углеродный след и повысить конкурентоспособность в условиях постоянного ужесточения требований по снижению выбросов СО2.

";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://navigator.sk.ru/orn/1124505

";;;;;;;;;;;;;
ТЮМНТ;IndustrialTech;Катализаторы для нефтехимии;"Компания специализируется на изготовлении, производстве, химических реагентов для нефтегазовой отрасли. Линейка нефтепромысловой химии компании включает в себя химические реагенты для бурения скважин, добычи, транспортировки, подготовки нефти, а также для защиты нефтепромыслового оборудования и трубопроводов от коррозии, и других отложений. Деойлер “ТюмНТ-ДЕО” предназначен для очистки воды от масел, нефти, нефтепродуктов, разделения водонефтяных эмульсий, а также для улучшения органолептических и химических показателей качества при очистке природных и сточных вод промышленных предприятий. Деэмульгаторы серии «ТюмНТ-ДЭ» предназначены для применения в процессах кислотных обработок призабойных зон скважин (ОПЗ, БОПЗ, БСКО, матричные БОПЗ) и кислотного гидроразрыва пласта (КГРП) с целью снижения риска образования стойкой нефтекислотной эмульсии. Механизм действия реагента основывается на снижении поверхностного натяжения границ раздела нефть-кислота, таким образом минимизируя вероятность получения при освоении высоковязкой эмульсии. Представляет собой раствор неионогенных поверхностно-активных веществ в среде метанола. 

Ключевыми продуктами компании являются особые реагенты, помогающие корпорации снижать риск образования стойкой нефтекислотной эмульсии и повышающие качество подготовки нефти, предотвращает образование промежуточных слоев. Также стоит отметить, что технология компании помогает снижаеть температуру застывания сырых нефтей и мазутов, снижает или полностью исключает необходимость в дистиллятных материалах при транспортировке и хранении тяжелых материалов.
";До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://tyumnt.ru/

Сбис: 
https://sbis.ru/contragents/7203440419/720301001
";;;;;;;;;;;;;
НПО Биомикрогели;IndustrialTech;Катализаторы для нефтехимии;"Компания специализируется на производстве химических реагентов для очистки от нефти. Это субмикронные частицы полисахаридов, полученные из вторичныхпродуктов сельскохозяйственной переработки: яблочного и свекловичного жома, целлюлозы, крахмала, обладающие обратимой растворимостью. Эффективно улавливают в воде нефть и нефтепродукты, минеральные ирастительные масла, животные жиры. Экологически безопасный реагент из природных полисахаридов, копулирующий нефтепродукты и позволяющий легко отделить их от воды. Флокулянты добавляют в жидкость после коагулянтов, чтобы укрупнить и уплотнить осадок, который получился в результате коагуляции. Но в ряде случаев они могут применяться без коагулянтов и сначала собирают примеси, а потом формируют из них флокулы. Флокуляция – это вид коагуляции. Она тоже объединяет мелкие взвешенные частицы в группы и образует осадок, но между этими процессами есть отличия. Коагулянты снимают с частиц заряд, и они уже могут сталкиваться друг с другом и образовывать группы. Флокулянты соединяют эти группы полимерными мостиками. Для коагуляции используют соли металлов: хлорид железа, сульфат железа, хлорид алюминия, сульфат алюминия и другие. Во флокуляции применяют, в основном, органические вещества: анионные, катионные, амфотерные флокулянты на основе полиакриламида, акрилата и других веществ. Коагуляция требует в десять раз больше реагентов, чем флокуляция. Если на литр жидкости нужно 20 мг коагулянта, то флокулянта – 1–2 мг. В процессе флокуляции образуется более крупный осадок, чем при коагуляции, его проще отделить от жидкости. Если сравнивать коагуляцию и флокуляцию, то преимущество последней – это более компактный, плотный осадок и, как следствие, более прозрачная вода.Это преимущество позволяет: реже обслуживать и ремонтировать систему фильтрации, потому что в воде нет мелких частиц, которые забивают фильтр.быстрее отфильтровывать крупный осадок, экономить время на процессах, которые снижают цветность и мутность воды. Это помогает обрабатывать больше жидкости.

";До 100 млн.руб;Раунд B;Нет;"Сайт: 
https://biomicrogel.com/ru/


Сбис: 
https://biomicrogel.com/ru/
";;;;;;;;;;;;;
ВИЛМАРИ;IndustrialTech;Цифровой двойник обородуования ;"Компания специализируется на разработке ПО для цифровизации процесса работы буровых инструментов. Ключевым продуктом компании является система АРБИ (анализ работы бурового инструмента).

Преимуществом продукта является закрытие продуктом всей цепочки процессов, связанных с управлением буровым инструментом, в частности: управления, складского учёта и логистики буровым инструментом (БИ); учёта и контроля фактической эксплуатации БИ; прогнозирования дальнейшего поведения БИ в эксплуатации; исключения/минимизации аварийных ситуаций и финансовых потерь.
";До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://www.spgholding.ru/arbi


Сбис: 
https://sbis.ru/contragents/6685023448/667001001
";;;;;;;;;;;;;
РТСИМ;IndustrialTech;Цифровая платформа для обучения сотруднков ;Компания ООО «RTsim» разрабатывает платформу для быстрого создания динамических цифровых близнецов для процессов переработки нефти и газа. Динамические цифровые близнецы компании основаны на математическом моделировании гидравлики, тепломассообмена, физической химии и других аспектах химической технологии. Преимуществом данной компании является, то что разработанная платформа создания цифровых двойников «RTsim», по результатам внедрений тренажеров на производствах идет непрерывное улучшение платформы и может быть использована в целом для цифровизации процесса работы клиентов Заказчика.;До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://rtsim.ru/


Сбис: 
https://sbis.ru/contragents/1655298774/773101001";;;;;;;;;;;;;
СУБТЕХ;IndustrialTech;Производство сушильного оборудования для пищевой промышленности ;"
Компания специализируется производстве промышленных и лабораторных сублиматоров.
Компания занимается разработкой и производством дегидратационной техники для различных отраслей промышленности. Кроме того, проектирует и изготавливает сублимационное и сушильное оборудование под заказ.

Технология сублимационной сушки является очень перспективной. С каждым годом к ней большой интерес с разных сторон. В России практически нет производителей сублиматоров и нет технологии и знаний по их производству. В основном все сублиматоры в нашей стране импортируются из других стран и стоят огромных денег. Наша компания занимается разработкой оборудования и популяризацией технологии. Компания производит сублиматоры для разных целей и задач, изучает технологию, разрабатывает софт, экспериментирует с методами нагрева и конструкциями установок. На данный момент разработаны и произведены три разные установки. Одна с малой площадью полок, бытовая серия. Вторая на экспорт для сублимации кобыльего молоко, с радиационным методом нагрева. Еще одна на внутренний рынок с охлаждаемыми полками для сублимации азотных бактерий. Также ведется НИОКР по лабораторной установке. Основные цели компании. Компания должна стать лидером в России по производству сублиматоров, как промышленных так и бытовых, лабораторных. Продолжить исследовательскую работу по сублиматорам для фармацевтики, лабораторий, для переработки и утилизации отходов в частности по шнековым сублиматорам.

Преимуществом компании является инновационная технология, которая может интегрироваться в производственный цикл заказчика. 
";До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://subteh.com/




Сбис: 
https://sbis.ru/contragents/1660352459/166001001";;;;;;;;;;;;;
T-soft;IndustrialTech;По для автоматизации производственных процессов для нефтегазовой отрасли ;"Компания специализируется на разработке и внедрении новых инновационных решений на промышленных предприятиях нефтеперерабатывающей и химической отрасли. Продукты компании увеличивают уровень автоматизации, надежности и безопасности технологических объектов, а также экономические показатели.Преимуществом компании является синергия ученых, инженеров и технологов, которые уже много лет совершенствуют технологические и цифровые продукты компании, что отражается в высоком уровне надежности и безопасности.

";500-1000 млн.руб;Раунд С ;Нет;"Сайт: 
https://www.t-soft.ru/


Сбис: 
https://sbis.ru/contragents/7810096046/781001001";;;;;;;;;;;;;
BIM-cluster;ConstructionTech;Платформа для контроля строительства ;Платформа по проверке и использованию данных информационных моделей зданий для контроля сроков, стоимости и качества инвестиционно-строительных проектов.;До 100 млн.руб;Seed;Нет;"Сайт: 
https://bimcl.ru/

Сбис: 
https://sbis.ru/contragents/6670474127/667101001";;;;;;;;;;;;;
BitOK;Web3;Крипто-анализатор ;Сервис для контроля, учета и аналитики криптовалют.;До 100 млн.руб;Seed;Да;"Сайт: 
https://bitok.org/";;;;;;;;;;;;;
CERA;RetailTech;Аналитика в ритейле ;Платформа, которая автоматизирует ключевые процессы в Ритейле с помощью компьютерного зрения и ИИ.;До 100 млн.руб;Seed;Нет;"Сайт: 
https://ceramarketing.com/

Сбис: 
https://sbis.ru/contragents/7806521523/772701001";;;;;;;;;;;;;
Cleverence;RetailTech;ПО для автоматизации ритейла ;Программное обеспечение для мобильных компьютеров со специальными сканерами штрихкодов для работы на складах и в магазинах.;100-500 млн.руб.;Раунд А;Да;"Сайт: 
https://ceramarketing.com/

Сбис: 
https://sbis.ru/contragents/7806521523/772701001
";;;;;;;;;;;;;
Edpro;EdTech;LMS;Гибкая LMS платформа онлайн-обучения для экспертов и школ.;100-500 млн.руб.;Раунд А;Нет;"Сайт: 
https://edprodpo.com/";;;;;;;;;;;;;
Merusoft;Business Intelligence;Упрвление офисом ;Система управления офисным пространством для бизнес-центров, офисов и компаний.;До 100 млн.руб;Seed;Да;"Сайт:
https://merusoft.ru/";;;;;;;;;;;;;
Mitigator;Cybersecurity;Защита от DDos;"Инструмент для защиты от DDoS-атак, предназначенный для операторов связи, хостингов, корпоративных клиентов и поставщиков услуг цифровой безопасности.
";До 100 млн.руб;Seed;Нет;"Сайт:

https://mitigator.ru/";;;;;;;;;;;;;
MyGig;Business Software;Массовый HeadHunter;Сервис для поиска подработок и временной занятости для массовых профессий (продавцы, курьеры, грузчики, водители и т.д.) с быстрыми выплатами.;До 100 млн.руб;Seed;Нет;"Сайт:
https://mygig.ru/";;;;;;;;;;;;;
